"pba-12v"
"Wavelength nm.","Abs."
190.00,0.173
190.20,0.173
190.40,0.174
190.60,0.175
190.80,0.176
191.00,0.178
191.20,0.178
191.40,0.180
191.60,0.180
191.80,0.181
192.00,0.181
192.20,0.180
192.40,0.181
192.60,0.182
192.80,0.183
193.00,0.183
193.20,0.183
193.40,0.184
193.60,0.184
193.80,0.185
194.00,0.185
194.20,0.186
194.40,0.187
194.60,0.189
194.80,0.190
195.00,0.190
195.20,0.191
195.40,0.192
195.60,0.193
195.80,0.194
196.00,0.195
196.20,0.196
196.40,0.196
196.60,0.197
196.80,0.198
197.00,0.199
197.20,0.199
197.40,0.199
197.60,0.200
197.80,0.200
198.00,0.201
198.20,0.201
198.40,0.201
198.60,0.201
198.80,0.201
199.00,0.202
199.20,0.202
199.40,0.201
199.60,0.201
199.80,0.202
200.00,0.202
200.20,0.202
200.40,0.202
200.60,0.202
200.80,0.202
201.00,0.203
201.20,0.203
201.40,0.202
201.60,0.203
201.80,0.203
202.00,0.203
202.20,0.203
202.40,0.203
202.60,0.203
202.80,0.204
203.00,0.204
203.20,0.204
203.40,0.204
203.60,0.204
203.80,0.204
204.00,0.204
204.20,0.204
204.40,0.204
204.60,0.204
204.80,0.204
205.00,0.204
205.20,0.203
205.40,0.203
205.60,0.203
205.80,0.203
206.00,0.202
206.20,0.203
206.40,0.202
206.60,0.202
206.80,0.201
207.00,0.201
207.20,0.201
207.40,0.200
207.60,0.200
207.80,0.199
208.00,0.199
208.20,0.199
208.40,0.198
208.60,0.198
208.80,0.196
209.00,0.195
209.20,0.195
209.40,0.194
209.60,0.193
209.80,0.193
210.00,0.192
210.20,0.191
210.40,0.190
210.60,0.189
210.80,0.188
211.00,0.187
211.20,0.186
211.40,0.185
211.60,0.185
211.80,0.184
212.00,0.183
212.20,0.182
212.40,0.181
212.60,0.180
212.80,0.179
213.00,0.179
213.20,0.177
213.40,0.177
213.60,0.176
213.80,0.175
214.00,0.174
214.20,0.174
214.40,0.173
214.60,0.172
214.80,0.171
215.00,0.170
215.20,0.169
215.40,0.168
215.60,0.167
215.80,0.166
216.00,0.165
216.20,0.164
216.40,0.163
216.60,0.162
