"pba-14v-2"
"Wavelength nm.","Abs."
190.00,0.182
190.20,0.183
190.40,0.184
190.60,0.185
190.80,0.185
191.00,0.187
191.20,0.187
191.40,0.189
191.60,0.189
191.80,0.190
192.00,0.190
192.20,0.190
192.40,0.191
192.60,0.190
192.80,0.191
193.00,0.191
193.20,0.191
193.40,0.192
193.60,0.192
193.80,0.194
194.00,0.194
194.20,0.195
194.40,0.197
194.60,0.198
194.80,0.198
195.00,0.199
195.20,0.202
195.40,0.203
195.60,0.204
195.80,0.205
196.00,0.206
196.20,0.206
196.40,0.206
196.60,0.207
196.80,0.207
197.00,0.207
197.20,0.207
197.40,0.208
197.60,0.209
197.80,0.209
198.00,0.209
198.20,0.209
198.40,0.210
198.60,0.210
198.80,0.211
199.00,0.211
199.20,0.212
199.40,0.212
199.60,0.212
199.80,0.212
200.00,0.212
200.20,0.213
200.40,0.213
200.60,0.213
200.80,0.213
201.00,0.213
201.20,0.213
201.40,0.213
201.60,0.214
201.80,0.214
202.00,0.214
202.20,0.215
202.40,0.215
202.60,0.215
202.80,0.215
203.00,0.215
203.20,0.216
203.40,0.216
203.60,0.216
203.80,0.215
204.00,0.216
204.20,0.215
204.40,0.215
204.60,0.215
204.80,0.214
205.00,0.214
205.20,0.214
205.40,0.213
205.60,0.213
205.80,0.213
206.00,0.212
206.20,0.212
206.40,0.211
206.60,0.211
206.80,0.211
207.00,0.210
207.20,0.210
207.40,0.210
207.60,0.209
207.80,0.209
208.00,0.208
208.20,0.207
208.40,0.207
208.60,0.207
208.80,0.206
209.00,0.205
209.20,0.205
209.40,0.204
209.60,0.203
209.80,0.203
210.00,0.202
210.20,0.201
210.40,0.200
210.60,0.199
210.80,0.198
211.00,0.198
211.20,0.196
211.40,0.195
211.60,0.194
211.80,0.193
212.00,0.192
212.20,0.191
212.40,0.190
212.60,0.189
212.80,0.188
213.00,0.187
213.20,0.186
213.40,0.185
213.60,0.184
213.80,0.184
214.00,0.182
214.20,0.181
214.40,0.180
214.60,0.179
214.80,0.178
215.00,0.177
215.20,0.176
215.40,0.175
215.60,0.174
215.80,0.173
216.00,0.172
216.20,0.170
216.40,0.169
216.60,0.168
216.80,0.167
217.00,0.166
217.20,0.165
217.40,0.164
217.60,0.163
217.80,0.162
218.00,0.160
218.20,0.159
218.40,0.159
218.60,0.157
218.80,0.156
219.00,0.155
219.20,0.155
219.40,0.153
219.60,0.152
219.80,0.151
220.00,0.150
220.20,0.149
220.40,0.148
220.60,0.147
220.80,0.146
221.00,0.145
221.20,0.144
221.40,0.143
221.60,0.143
221.80,0.142
222.00,0.141
222.20,0.140
222.40,0.139
222.60,0.138
222.80,0.137
223.00,0.136
223.20,0.136
223.40,0.135
223.60,0.134
223.80,0.133
224.00,0.132
224.20,0.131
224.40,0.130
224.60,0.129
224.80,0.129
225.00,0.128
225.20,0.127
225.40,0.127
225.60,0.126
225.80,0.125
226.00,0.125
226.20,0.124
226.40,0.124
226.60,0.123
226.80,0.123
227.00,0.122
227.20,0.122
227.40,0.122
227.60,0.121
227.80,0.121
228.00,0.120
228.20,0.119
228.40,0.119
228.60,0.119
228.80,0.118
229.00,0.118
229.20,0.117
229.40,0.117
229.60,0.117
229.80,0.117
230.00,0.116
230.20,0.116
230.40,0.115
230.60,0.115
230.80,0.115
231.00,0.115
231.20,0.114
231.40,0.114
231.60,0.114
231.80,0.114
232.00,0.113
232.20,0.113
232.40,0.113
232.60,0.113
232.80,0.113
233.00,0.113
233.20,0.113
233.40,0.113
233.60,0.113
